shopping,travel,dining,fuel,groceries,cardNorm,target_monthly
508.218278890345,2346.465659439134,2718.2172099877607,2099.166384092454,2327.932467590306,0.000000,19.82
1349.1015018727235,748.4114963386878,2864.4168065394356,1234.6300909302704,3803.440104318884,0.025641,0.00
1915.7894619301271,1123.89965790696,2006.154970180854,2941.140887667812,2013.0150223142466,0.051282,30.81
503.8710124831815,1978.728564814813,2268.263378587913,1876.970552942823,3372.1664911712696,0.076923,0.00
1599.5575334267978,1881.685607896331,994.6436894013477,3004.937588607565,2519.1755806679575,0.102564,14.03
3173.7794155740594,1531.3132277400673,3015.024577295855,1188.0820727085631,1091.800706681455,0.128205,38.56
820.9125388595232,3156.7974041133325,1406.1128148405187,3154.6399376529153,1461.5373045337087,0.153846,34.50
2774.327438247846,461.9609300538346,2499.9932311473494,2302.012472442768,1961.705928108202,0.179487,49.92
2517.7221864586077,1124.283339424918,2049.477728901915,1194.6081768423905,3113.90856837217,0.205128,55.06
781.0551626559089,2071.5132039552573,2483.276231185671,2622.8218012943635,2041.3336009088,0.230769,18.14
2184.7136172398705,2497.404355844922,2590.043865379181,1253.2813403655473,1474.5568211704792,0.256410,53.25
2528.1942861561356,2442.8015495692443,798.828925594206,1329.997400070427,2900.177838609989,0.282051,42.09
1459.6206544839838,867.8830195573446,1436.4818412134102,3907.6136179136943,2328.4008668315673,0.307692,34.49
849.203860087715,1613.2972279073433,3258.213433696567,3368.3003294828263,910.9851488255497,0.333333,15.60
1906.9356200164204,3778.935126312152,1832.4426135502938,1575.8712364772045,905.8154036439297,0.358974,43.86
2987.049500976474,2234.975128786983,540.4221965750183,3043.1140950828576,1194.439078578666,0.384615,60.72
470.3113054330842,2200.1659923660673,3149.721815226831,3140.4097916006563,1039.3910953733605,0.410256,20.56
2236.204347329149,1031.884380005593,2627.856901001922,2134.4249576712396,1969.6294139920963,0.435897,84.20
769.6604988212471,3322.5887019407705,870.8893135262754,1612.287304423132,3424.574181288574,0.461538,93.72
1702.933332707455,2491.0511204166105,1528.7772728991363,2590.471722114598,1686.7665518621993,0.487179,71.58
1947.3751561426109,1912.988840756576,1359.5562632027859,2515.356916670491,2264.7228232275347,0.512821,100.61
2425.302696243168,1110.7225770162947,554.0935738055085,3216.935504634928,2692.9456483001013,0.538462,65.36
1492.8673842986411,969.5923321432723,1770.355572297318,3051.6527023944554,2715.5320088663148,0.564103,86.77
3098.126063030941,934.9536160183231,887.7211811985071,4372.431336712879,706.7678030393489,0.589744,91.07
2220.3279827097126,2655.484617190139,1892.4091834861952,1313.3280839037707,1918.4501327101832,0.615385,66.95
1582.9446315669475,1044.5135182472543,2942.207138059398,2609.0738661345777,1821.2608459918226,0.641026,102.37
3131.358578312601,542.3536559372453,970.4526829563813,2876.0703404001742,2479.7647423935987,0.666667,84.87
1782.6553450850931,603.6634330179139,3357.1456525583512,3377.5660336797023,878.9695356589398,0.692308,110.03
2257.0235060088744,2416.660856811732,550.2677648307493,1609.2240122168341,3166.8238601318108,0.717949,98.81
589.0248173070295,1185.7152723191853,2653.3346820283027,3308.882161037261,2263.0430673082224,0.743590,116.27
2891.57679852477,2767.3858261255696,1588.6489413367676,1910.574083788217,841.814350224676,0.769231,77.73
991.560402774399,2337.132877379821,1852.3799873676562,1033.9712141635594,3784.9555183145653,0.794872,136.38
1251.5249828928918,1232.379228806218,2272.358382428905,2145.9383435115333,3097.799062360451,0.820513,91.35
4080.15437246988,1529.0782196567447,1872.995167327831,1463.6234412275041,1054.1487993180401,0.846154,115.14
3388.3040243151386,2366.7701866981774,1158.5557999512557,2016.2812755302623,1070.0887135051678,0.871795,116.67
2406.7420656186573,1253.070436209062,1445.5800822370722,2631.4615051248256,2263.145910810381,0.897436,126.25
2701.3228263697965,2059.9134947948464,1087.516281469873,3299.215627543373,852.0317698221115,0.923077,79.79
1346.5127687364325,1003.7427420270218,3766.115694725486,1447.7968569599802,2435.8319375510787,0.948718,112.14
2439.9902694216494,2491.8238491542284,1486.490304585855,2222.247300161094,1359.4482766771732,0.974359,142.52
2942.0934878055837,1122.994564066988,2991.2660905576145,2185.8437167120383,757.8021408577762,1.000000,160.82
3577.1724999136245,1272.8812321042144,2971.2990803330854,1467.557732287675,711.089455361399,0.000000,39.36
1461.1897024808575,663.4902329848013,1086.7900974961417,3529.3917164763834,3259.1382505618158,0.025641,0.00
